scenario,capacity,capex_per_mwh,hurdle_rate,market_revenue,revenue_per_mwh,cycles,cycles_per_year,effective_cycles,limiting_factor,implied_optimal_hurdle,degradation_cost,net_profit,net_profit_per_mwh
XL,10000,160000,7.5,248895846.9021091,24889.584690210908,304.97806753845225,50.82967792307537,762.4451688461306,calendar,104.92557795476678,640000000.0,-391104153.0978909,-39110.41530978909
L,1000,170000,45.0,27581503.158508986,27581.503158508986,334.7853174398673,55.79755290664455,836.9632935996682,calendar,101.5576198502401,68000000.0,-40418496.841491014,-40418.49684149101
XL,10000,160000,10.0,234265010.80898148,23426.501080898146,280.70759972251517,46.784599953752526,701.7689993062879,calendar,113.99762611212739,640000000.0,-405734989.1910185,-40573.498919101854
M,100,180000,52.5,2868439.9810042344,28684.399810042345,353.60722199302455,58.93453699883742,884.0180549825614,calendar,101.80787540790148,7200000.0,-4331560.018995766,-43315.60018995766
L,1000,170000,47.5,25968926.946454633,25968.926946454634,310.58122317983714,51.763537196639525,776.4530579495929,calendar,109.47216851004814,68000000.0,-42031073.05354537,-42031.07305354537
XL,10000,160000,12.5,220770009.4718625,22077.00094718625,259.5207712956038,43.25346188260064,648.8019282390096,calendar,123.30419580770591,640000000.0,-419229990.5281375,-41922.99905281375
L,1000,170000,50.0,24473879.0667603,24473.879066760303,287.5085867763503,47.91809779605838,718.7714669408757,calendar,118.25733756761922,68000000.0,-43526120.9332397,-43526.1209332397
L,1000,170000,52.5,23091015.735021003,23091.015735021003,265.93175351135085,44.32195891855847,664.8293837783771,calendar,127.8523514061993,68000000.0,-44908984.264979,-44908.984264979
XL,10000,160000,22.5,175905287.65628728,17590.52876562873,193.9964061551366,32.33273435918944,484.99101538784157,calendar,164.95150933059028,640000000.0,-464094712.3437127,-46409.47123437127
XL,10000,160000,15.0,208282132.50956857,20828.21325095686,240.47128992336857,40.07854832056143,601.1782248084214,calendar,133.07201874368246,640000000.0,-431717867.4904314,-43171.786749043145
XL,10000,160000,17.5,196703154.10074547,19670.31541007455,223.20079581648625,37.200132636081044,558.0019895412156,calendar,143.3686644482671,640000000.0,-443296845.89925456,-44329.684589925455
XL,10000,160000,25.0,166529111.63474068,16652.91116347407,181.30571761210345,30.21761960201724,453.2642940302586,calendar,176.49746749003668,640000000.0,-473470888.3652593,-47347.08883652593
XL,10000,160000,20.0,185940896.28430414,18594.089628430414,207.76727583787473,34.62787930631246,519.4181895946869,calendar,154.0184799119679,640000000.0,-454059103.71569586,-45405.91037156959
XL,10000,160000,27.5,157766850.58085504,15776.685058085504,169.33321070695837,28.222201784493063,423.33302676739595,calendar,188.97651480416317,640000000.0,-482233149.419145,-48223.3149419145
XL,10000,160000,30.0,149585921.55789974,14958.592155789975,158.1096354440115,26.35160590733525,395.2740886100288,calendar,202.3912072792779,640000000.0,-490414078.4421003,-49041.40784421003
XL,10000,160000,32.5,141949802.18299702,14194.980218299701,147.47027170207605,24.578378617012675,368.6756792551901,calendar,216.99288697756913,640000000.0,-498050197.817003,-49805.0197817003
XL,10000,160000,35.0,134826113.15037656,13482.611315037655,137.5864164319157,22.93106940531928,343.9660410797892,calendar,232.58109942731974,640000000.0,-505173886.84962344,-50517.388684962345
XL,10000,160000,37.5,128181541.47239153,12818.154147239153,128.30419616182985,21.384032693638307,320.7604904045746,calendar,249.40727550047123,640000000.0,-511818458.52760845,-51181.845852760845
XL,10000,160000,40.0,121980831.52964331,12198.083152964331,119.87205809015553,19.978676348359254,299.6801452253888,calendar,266.9512854774953,640000000.0,-518019168.4703567,-51801.91684703567
XL,10000,160000,42.5,116183477.69991988,11618.347769991988,112.16787124967246,18.694645208278743,280.41967812418113,calendar,285.28668364198313,640000000.0,-523816522.3000801,-52381.65223000801
XL,10000,160000,45.0,110758636.8240039,11075.86368240039,105.00890494509173,17.50148415751529,262.52226236272935,calendar,304.73606040109195,640000000.0,-529241363.17599607,-52924.13631759961
XL,10000,160000,47.5,105679056.6477054,10567.90566477054,98.30323165904485,16.383871943174142,245.75807914761214,calendar,325.5233776137581,640000000.0,-534320943.35229456,-53432.094335229456
XL,10000,160000,50.0,100921793.52836299,10092.1793528363,92.10621958762144,15.351036597936906,230.26554896905358,calendar,347.42496373502905,640000000.0,-539078206.471637,-53907.8206471637
XL,10000,160000,52.5,96464308.42915376,9646.430842915375,86.31689664550753,14.38614944091792,215.7922416137688,calendar,370.7269520059313,640000000.0,-543535691.5708462,-54353.56915708462
